,TIME,SNR,LAT,LON,DISTANCE,ALT
3991,36462590,10.289967,35.7274823,-78.6962747,35.34353963872628,-0.113
3992,36462623,10.305653,35.7274823,-78.6962747,35.34353963872628,-0.113
3993,36462655,10.315956,35.7274823,-78.6962747,35.34353963872628,-0.113
3994,36462688,10.32288,35.7274823,-78.6962747,35.34353963872628,-0.113
3995,36462721,10.324268,35.7274823,-78.6962747,35.34353963872628,-0.113
3996,36462754,10.305363,35.7274823,-78.6962747,35.34353963872628,-0.113
3997,36462786,10.285408,35.7274823,-78.6962747,35.34353963872628,-0.113
3998,36462821,10.272213,35.7274823,-78.6962747,35.34353963872628,-0.113
3999,36462854,10.263222,35.7274823,-78.6962747,35.34353963872628,-0.113
4000,36462887,10.258301,35.7274823,-78.6962747,35.34353963872628,-0.113
4001,36462920,10.262142,35.7274823,-78.6962747,35.34353963872628,-0.113
4002,36462952,10.27343,35.7274823,-78.6962747,35.34353963872628,-0.113
4003,36462985,10.264473,35.7274823,-78.6962747,35.34353963872628,-0.113
4004,36463018,10.259163,35.7274823,-78.6962747,35.34353963872628,-0.113
4005,36463051,10.2550125,35.7274823,-78.6962747,35.34353963872628,-0.113
4006,36463083,10.251957,35.7274823,-78.6962747,35.34353963872628,-0.113
4007,36463116,10.249863,35.7274823,-78.6962747,35.34353963872628,-0.113
4008,36463149,10.255062,35.7274823,-78.6962747,35.34353963872628,-0.113
4009,36463182,10.261581,35.7274823,-78.6962747,35.34353963872628,-0.113
4010,36463214,10.14249,35.7274823,-78.6962747,35.34353963872628,-0.113
4011,36463247,9.284027,35.7274823,-78.6962747,35.34353963872628,-0.113
4012,36463280,9.583778,35.7274823,-78.6962747,35.34353963872628,-0.113
4013,36463312,9.790485,35.7274823,-78.6962747,35.34353963872628,-0.113
4014,36463345,9.933277,35.7274823,-78.6962747,35.34353963872628,-0.113
4015,36463378,10.034203,35.7274823,-78.6962747,35.34353963872628,-0.113
4016,36463411,10.103912,35.7274823,-78.6962747,35.34353963872628,-0.113
4017,36463443,9.958008,35.7274823,-78.6962747,35.34353963872628,-0.113
4018,36463476,9.682732,35.7274823,-78.6962747,35.34353963872628,-0.113
4019,36463509,9.500278,35.7274823,-78.6962747,35.34353963872628,-0.113
4020,36463542,9.291096,35.7274823,-78.6962747,35.34353963872628,-0.113
4021,36463574,9.215542,35.7274823,-78.6962747,35.34353963872628,-0.113
4022,36463607,9.16898,35.7274823,-78.6962747,35.34353963872628,-0.113
4023,36463640,9.135216,35.7274823,-78.6962747,35.34353963872628,-0.113
4024,36463673,9.109371,35.7274823,-78.6962747,35.34353963872628,-0.113
4025,36463705,9.091156,35.7274823,-78.6962747,35.34353963872628,-0.113
4026,36463738,9.069546,35.7274823,-78.6962747,35.34353963872628,-0.113
4027,36463771,9.038071,35.7274823,-78.6962747,35.34353963872628,-0.113
4028,36463804,9.015945,35.7274823,-78.6962747,35.34353963872628,-0.113
4029,36463836,8.854816,35.7274823,-78.6962747,35.34353963872628,-0.113
4030,36463869,8.855968,35.7274823,-78.6962747,35.34353963872628,-0.113
4031,36463902,8.885929,35.7274823,-78.6962747,35.34353963872628,-0.113
4032,36463935,8.908047,35.7274823,-78.6962747,35.34353963872628,-0.113
4033,36463967,8.924084,35.7274823,-78.6962747,35.34353963872628,-0.113
4034,36464000,8.934269,35.7274823,-78.6962747,35.34353963872628,-0.113
4035,36464033,8.928379,35.7274823,-78.6962747,35.34353963872628,-0.113
4036,36464066,8.880814,35.7274823,-78.6962747,35.34353963872628,-0.113
4037,36464098,8.846802,35.7274823,-78.6962747,35.34353963872628,-0.113
4038,36464131,8.821003,35.7274823,-78.6962747,35.34353963872628,-0.113
4039,36464165,8.802532,35.7274823,-78.6962747,35.34353963872628,-0.113
4040,36464197,8.789558,35.7274823,-78.6962747,35.34353963872628,-0.113
4041,36464230,8.730343,35.7274823,-78.6962747,35.34353963872628,-0.113
4042,36464262,8.7116165,35.7274823,-78.6962747,35.34353963872628,-0.113
4043,36464295,8.7247505,35.7274823,-78.6962747,35.34353963872628,-0.113
4044,36464328,8.734329,35.7274823,-78.6962747,35.34353963872628,-0.113
4045,36464360,8.741016,35.7274823,-78.6962747,35.34353963872628,-0.113
4046,36464393,8.745506,35.7274823,-78.6962747,35.34353963872628,-0.113
4047,36464426,8.745213,35.7274823,-78.6962747,35.34353963872628,-0.113
4048,36464459,8.726807,35.7274823,-78.6962747,35.34353963872628,-0.113
4049,36464492,8.7098465,35.7274823,-78.6962747,35.34353963872628,-0.113
4050,36464525,8.555141,35.7274823,-78.6962747,35.34353963872628,-0.113
4051,36464557,8.402893,35.7274823,-78.6962747,35.34353963872628,-0.113
4052,36464590,8.475433,35.7274823,-78.6962747,35.34353963872628,-0.113
4053,36464623,8.527172,35.7274823,-78.6962747,35.34353963872628,-0.113
4054,36464655,8.5648575,35.7274823,-78.6962747,35.34353963872628,-0.113
4055,36464688,8.59264,35.7274823,-78.6962747,35.34353963872628,-0.113
4056,36464721,8.608963,35.7274823,-78.6962747,35.34353963872628,-0.113
4057,36464754,8.5464325,35.7274823,-78.6962747,35.34353963872628,-0.113
4058,36464786,8.471504,35.7274823,-78.6962747,35.34353963872628,-0.113
4059,36464819,8.421959,35.7274823,-78.6962747,35.34353963872628,-0.113
4060,36464852,8.385712,35.7274823,-78.6962747,35.34353963872628,-0.113
4061,36464885,8.3580475,35.7274823,-78.6962747,35.34353963872628,-0.113
4062,36464919,8.316566,35.7274823,-78.6962747,35.34353963872628,-0.113
4063,36464952,8.250523,35.7274823,-78.6962747,35.34353963872628,-0.113
4064,36464985,8.259922,35.7274823,-78.6962747,35.34353963872628,-0.113
4065,36465018,8.266438,35.7274823,-78.6962747,35.34353963872628,-0.113
