,TIME,SNR,LAT,LON,DISTANCE,ALT
4897,37540386,12.2559395,35.7274823,-78.6962747,35.34353963872628,-0.001
4898,37540419,12.237923,35.7274823,-78.6962747,35.34353963872628,-0.001
4899,37540452,12.227627,35.7274823,-78.6962747,35.34353963872628,-0.001
4900,37540485,12.187756,35.7274823,-78.6962747,35.34353963872628,-0.001
4901,37540517,12.045425,35.7274823,-78.6962747,35.34353963872628,-0.001
4902,37540550,12.109497,35.7274823,-78.6962747,35.34353963872628,-0.001
4903,37540583,12.150276,35.7274823,-78.6962747,35.34353963872628,-0.001
4904,37540616,12.173611,35.7274823,-78.6962747,35.34353963872628,-0.001
4905,37540648,11.8451805,35.7274823,-78.6962747,35.34353963872628,-0.001
4906,37540681,12.346348,35.7274823,-78.6962747,35.34353963872628,-0.001
4907,37540714,12.2945595,35.7274823,-78.6962747,35.34353963872628,-0.001
4908,37540747,12.262077,35.7274823,-78.6962747,35.34353963872628,-0.001
4909,37540779,12.241039,35.7274823,-78.6962747,35.34353963872628,-0.001
4910,37540812,12.229614,35.7274823,-78.6962747,35.34353963872628,-0.001
4911,37540847,12.205303,35.7274823,-78.6962747,35.34353963872628,-0.001
4912,37540880,11.574268,35.7274823,-78.6962747,35.34353963872628,-0.001
4913,37540913,12.258259,35.7274823,-78.6962747,35.34353963872628,-0.001
4914,37540945,12.242401,35.7274823,-78.6962747,35.34353963872628,-0.001
4915,37540978,11.795582,35.7274823,-78.6962747,35.34353963872628,-0.001
4916,37541011,11.951172,35.7274823,-78.6962747,35.34353963872628,-0.001
4917,37541043,12.465385,35.7274823,-78.6962747,35.34353963872628,-0.001
4918,37541076,12.298634,35.7274823,-78.6962747,35.34353963872628,-0.001
4919,37541109,12.155483,35.7274823,-78.6962747,35.34353963872628,-0.001
4920,37541142,11.917397,35.7274823,-78.6962747,35.34353963872628,-0.001
4921,37541175,12.319462,35.7274823,-78.6962747,35.34353963872628,-0.001
4922,37541207,12.036606,35.7274823,-78.6962747,35.34353963872628,-0.001
4923,37541240,11.986862,35.7274823,-78.6962747,35.34353963872628,-0.001
4924,37541273,12.072773,35.7274823,-78.6962747,35.34353963872628,-0.001
4925,37541306,12.129532,35.7274823,-78.6962747,35.34353963872628,-0.001
4926,37541338,12.05629,35.7274823,-78.6962747,35.34353963872628,-0.001
4927,37541371,12.042469,35.7274823,-78.6962747,35.34353963872628,-0.001
4928,37541404,12.1097145,35.7274823,-78.6962747,35.34353963872628,-0.001
4929,37541437,11.787807,35.7274823,-78.6962747,35.34353963872628,-0.001
4930,37541469,12.322987,35.7274823,-78.6962747,35.34353963872628,-0.001
4931,37541502,12.280342,35.7274823,-78.6962747,35.34353963872628,-0.001
4932,37541535,12.254719,35.7274823,-78.6962747,35.34353963872628,-0.001
4933,37541568,12.237164,35.7274823,-78.6962747,35.34353963872628,-0.001
4934,37541600,12.227547,35.7274823,-78.6962747,35.34353963872628,-0.001
4935,37541633,12.202724,35.7274823,-78.6962747,35.34353963872628,-0.001
4936,37541666,12.061848,35.7274823,-78.6962747,35.34353963872628,-0.001
4937,37541698,12.1161995,35.7274823,-78.6962747,35.34353963872628,-0.001
4938,37541731,12.153313,35.7274823,-78.6962747,35.34353963872628,-0.001
4939,37541764,12.176216,35.7274823,-78.6962747,35.34353963872628,-0.001
4940,37541797,12.191082,35.7274823,-78.6962747,35.34353963872628,-0.001
4941,37541830,12.198456,35.7274823,-78.6962747,35.34353963872628,-0.001
4942,37541862,12.203701,35.7274823,-78.6962747,35.34353963872628,-0.001
4943,37541895,12.206924,35.7274823,-78.6962747,35.34353963872628,-0.001
4944,37541928,12.208561,35.7274823,-78.6962747,35.34353963872628,-0.001
4945,37541961,11.781792,35.7274823,-78.6962747,35.34353963872628,-0.001
4946,37541993,12.3473015,35.7274823,-78.6962747,35.34353963872628,-0.001
4947,37542026,12.294865,35.7274823,-78.6962747,35.34353963872628,-0.001
4948,37542059,12.262337,35.7274823,-78.6962747,35.34353963872628,-0.001
4949,37542092,12.242096,35.7274823,-78.6962747,35.34353963872628,-0.001
4950,37542124,12.230217,35.7274823,-78.6962747,35.34353963872628,-0.001
4951,37542157,11.721096,35.7274823,-78.6962747,35.34353963872628,-0.001
4952,37542190,12.215664,35.7274823,-78.6962747,35.34353963872628,-0.001
4953,37542222,12.2140045,35.7274823,-78.6962747,35.34353963872628,-0.001
4954,37542255,11.738102,35.7274823,-78.6962747,35.34353963872628,-0.001
4955,37542288,12.355385,35.7274823,-78.6962747,35.34353963872628,-0.001
4956,37542321,12.299286,35.7274823,-78.6962747,35.34353963872628,-0.001
4957,37542354,12.110451,35.7274823,-78.6962747,35.34353963872628,-0.001
4958,37542386,11.804096,35.7274823,-78.6962747,35.34353963872628,-0.001
4959,37542419,12.003075,35.7274823,-78.6962747,35.34353963872628,-0.001
4960,37542452,12.361191,35.7274823,-78.6962747,35.34353963872628,-0.001
4961,37542485,11.76049,35.7274823,-78.6962747,35.34353963872628,-0.001
4962,37542517,12.340752,35.7274823,-78.6962747,35.34353963872628,-0.001
4963,37542550,12.227497,35.7274823,-78.6962747,35.34353963872628,-0.001
4964,37542583,12.158688,35.7274823,-78.6962747,35.34353963872628,-0.001
4965,37542616,11.592079,35.7274823,-78.6962747,35.34353963872628,-0.001
4966,37542648,12.130707,35.7274823,-78.6962747,35.34353963872628,-0.001
4967,37542681,12.122692,35.7274823,-78.6962747,35.34353963872628,-0.001
4968,37542714,12.019608,35.7274823,-78.6962747,35.34353963872628,-0.001
4969,37542747,12.095802,35.7274823,-78.6962747,35.34353963872628,-0.001
4970,37542779,12.141033,35.7274823,-78.6962747,35.34353963872628,-0.001
4971,37542812,12.130886,35.7274823,-78.6962747,35.34353963872628,-0.001
4972,37542845,12.017994,35.7274823,-78.6962747,35.34353963872628,-0.001
4973,37542878,12.095573,35.7274823,-78.6962747,35.34353963872628,-0.001
4974,37542910,12.139896,35.7274823,-78.6962747,35.34353963872628,-0.001
4975,37542945,12.166565,35.7274823,-78.6962747,35.34353963872628,-0.001
4976,37542978,12.181477,35.7274823,-78.6962747,35.34353963872628,-0.001
4977,37543011,12.193752,35.7274823,-78.6962747,35.34353963872628,-0.001
4978,37543043,12.200832,35.7274823,-78.6962747,35.34353963872628,-0.001
4979,37543076,12.204815,35.7274823,-78.6962747,35.34353963872628,-0.001
4980,37543109,12.207401,35.7274823,-78.6962747,35.34353963872628,-0.001
4981,37543142,12.209053,35.7274823,-78.6962747,35.34353963872628,-0.001
4982,37543174,12.209587,35.7274823,-78.6962747,35.34353963872628,-0.001
4983,37543207,12.209061,35.7274823,-78.6962747,35.34353963872628,-0.001
4984,37543240,12.208668,35.7274823,-78.6962747,35.34353963872628,-0.001
4985,37543273,11.817554,35.7274823,-78.6962747,35.34353963872628,-0.001
4986,37543305,12.3826065,35.7274823,-78.6962747,35.34353963872628,-0.001
4987,37543338,12.31543,35.7274823,-78.6962747,35.34353963872628,-0.001
4988,37543371,12.273758,35.7274823,-78.6962747,35.34353963872628,-0.001
4989,37543404,12.248867,35.7274823,-78.6962747,35.34353963872628,-0.001
4990,37543437,12.233238,35.7274823,-78.6962747,35.34353963872628,-0.001
4991,37543469,12.223564,35.7274823,-78.6962747,35.34353963872628,-0.001
4992,37543502,12.063496,35.7274823,-78.6962747,35.34353963872628,-0.001
4993,37543535,12.099468,35.7274823,-78.6962747,35.34353963872628,-0.001
4994,37543567,12.141811,35.7274823,-78.6962747,35.34353963872628,-0.001
4995,37543600,12.167477,35.7274823,-78.6962747,35.34353963872628,-0.001
4996,37543633,11.757343,35.7274823,-78.6962747,35.34353963872628,-0.001
4997,37543666,12.331181,35.7274823,-78.6962747,35.34353963872628,-0.001
4998,37543698,12.283855,35.7274823,-78.6962747,35.34353963872628,-0.001
4999,37543731,12.254253,35.7274823,-78.6962747,35.34353963872628,-0.001
5000,37543764,12.2365265,35.7274823,-78.6962747,35.34353963872628,-0.001
5001,37543797,12.225819,35.7274823,-78.6962747,35.34353963872628,-0.001
